product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,proficiency_level_start,hire_type,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator,tnps_basic_numerator,tnps_basic_denominator,tnps_deluxe_numerator,tnps_deluxe_denominator,tnps_premium_numerator,tnps_premium_denominator,aht_basic_numerator,aht_basic_denominator,aht_deluxe_numerator,aht_deluxe_denominator,aht_premium_numerator,aht_premium_denominator
TTL Full Service Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,1,3,1,3,38.63,43.12,9,19,1932.516664,89,50.243766,12,17.502558,6,7.899516,2,24.841692,4,-1,1,0,0,1,1,338.666667,12,212.116666,13,54.016666,9
TTL Assisted Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,5,6,5,6,25.87,30.34,0,0,2057.416671,98,0,0,0,0,0,0,0,0,1,1,3,3,0,1,89.133333,6,441.733333,25,830.866668,39
TTL Full Service Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,1,1,1,1,44.43,50.34,24,38,2403.316669,127,284.47967,48,42.929955,11,56.959333,11,184.590382,26,0,0,0,0,0,0,79.9,4,135.283335,6,374.650001,19
TTL Assisted Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,16,19,18,19,66.8,76.43,0,0,6070.6,345,0,0,0,0,0,0,0,0,1,1,5,6,5,7,329.500001,30,1619.699999,91,2481.016666,139
TTL Full Service Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,9,15,3,4,254.94,280.52,126,184,8100.95,693,541.991124,222,53.180498,51,91.889837,57,394.828114,113,-1,1,2,2,4,4,372.583332,25,1006.433326,99,1454.783328,114
TTL Assisted Consumer,10000144768,TLEE,INTUIT,Tax Expert,OTHER,OTHER,New Hire,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
TTL Full Service Consumer,10000147709,KLEW1,INTUIT,Tax Specialist,PL1,PL1,New Hire,0,0,0,0,4.2,4.98,0,1,2036.116667,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.783334,2,2.816667,1
TTL Assisted Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,0,0,0,0,21.51,27.94,0,0,628.600001,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.583333,4,86.783333,7,397.866668,21
TTL Full Service Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,-2,2,0,2,47.88,62.31,6,12,1564.883337,114,41.543373,7,27.864699,3,8.950156,3,4.728518,1,0,0,0,0,0,0,44.333334,8,219.249999,11,199.783334,13
TTL Assisted Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,0,0,0,0,2.88,3.32,0,0,52.216667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.216667,5,0,0
TTL Full Service Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,0,0,0,0,2.98,3.15,2,3,160.666667,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,1,0,0,0,0
TTL Assisted Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,-1,2,1,2,61.91,83.23,0,0,1490.433335,114,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,30.3,3,503.35,39,921.050001,66
TTL Full Service Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,-1,3,0,2,123.26,158.68,20,46,2846.799996,307,79.053762,28,27.817557,12,41.12319,13,10.113015,3,0,0,0,0,-1,1,237.216667,21,310.283334,40,381.950001,39
TTL Assisted Consumer,10000175185,JMASSEY,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,0.216667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,7,7,6,7,18.65,22.59,0,0,1553.549999,71,0,0,0,0,0,0,0,0,1,1,2,2,3,3,293.766666,10,142.083334,10,565.149999,18
TTL Full Service Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,0,2,1,1,139.79,155.26,35,54,4752.466668,379,289.369566,81,29.73139,19,80.616145,26,176.305372,35,0,0,0,0,0,0,106.966667,8,443.499998,21,524.333334,18
TTL Assisted Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,PL2,Re-Hire,0,0,0,0,0,0,0,0,89.066666,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,PL2,Re-Hire,0,0,0,0,13.12,18.06,11,16,690.966667,68,78.561875,21,37.474879,11,24.57157,6,16.515426,4,0,0,0,0,0,0,2.316667,1,176.433334,9,195.833333,20
TTL Assisted Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,19,21,20,21,61.76,71.83,0,0,2757.849998,167,0,0,0,0,0,0,0,0,0,1,10,10,9,10,267.616666,22,772.18333,52,764.616665,45
TTL Full Service Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,2,2,0,0,143.93,161.73,42,83,3183.98333,375,233.690395,76,31.053642,19,19.867494,15,182.769259,42,0,0,0,0,1,1,404.35,38,293.616667,43,369.883332,41
TTL Assisted Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,3,3,3,10.54,11.53,0,0,1469.88333,72,0,0,0,0,0,0,0,0,0,0,2,2,1,1,158.233332,9,222.733335,16,93.033333,8
TTL Full Service Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,18,22,3,4,152.2,167.04,92,124,4878.700003,382,770.161733,264,82.364182,47,182.397589,64,489.318913,150,0,0,2,2,3,4,89.783333,10,622.766668,29,630.383334,43
TTL Assisted Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,5,4,4,19.2,22.69,0,0,1432.949999,53,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2.583333,1,191.816668,13,472.099998,27
TTL Full Service Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,3,1,1,97.68,111.34,55,84,4384.516668,219,215.925778,118,29.57142,23,47.095798,32,139.25856,63,0,0,0,0,1,2,288.183333,20,367.466666,28,1269.383334,34
TTL Assisted Consumer,30000002256,BOT-VEP-BOT-3779430,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,50.933333,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002273,BOT-VEP-BOT-3793397,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,5956.749999,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002274,BOT-VEP-BOT-3793400,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0.2,0.22,0,0,4888.600005,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.166667,3
TTL Assisted Consumer,30000002275,BOT-VEP-BOT-3793413,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,247.533332,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002276,BOT-VEP-BOT-3793411,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,2592.9,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002277,BOT-VEP-BOT-3793409,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,498.083334,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000002278,BOT-VEP-BOT-3793405,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,236.583332,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003012,BOT-VEP-TTP-4756498,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,8358.066668,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003013,BOT-VEP-MCP-4756534,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,1696.466666,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003015,BOT-VEP-MCP-4756535,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,179.466667,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003016,BOT-VEP-TTP-4756505,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,4.62,4.95,0,0,13154.41667,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003017,BOT-VEP-QBP-4756532,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0.2,0.2,0,0,18.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003053,BOT-TTM-IDC-4839819,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,4307.733333,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003058,BOT-VEP-TT4-4859355,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,2.083333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003060,BOT-VEP-TT2-4859348,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,1.383333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003062,BOT-VEP-TT5-4859366,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,1639.583334,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003064,BOT-VEP-TT1-4859343,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,980.133331,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003091,BOT-VEP-QBM-5089126,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000003095,BOT-VEP-TTM-5090962,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,756.31667,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,30000003257,BOT-CG-IEP-5549546,INTUIT,Tax Expert,PL2,PL2,New Hire,0,0,0,0,0,0,0,0,77.366667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,30000003259,BOT-CG-IEP-5549599,INTUIT,Tax Expert,PL2,PL2,New Hire,0,0,0,0,0,0,0,0,165.366667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,30000007931,BOT-VEP-TC-6741433,INTUIT,Tax Expert,OTHER,OTHER,New Hire,0,0,0,0,0,0,0,0,7.8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,50000001428,JBAKER1,INTUIT,Tax Specialist,PL1,PL1,New Hire,1,1,1,1,8.31,10.19,0,0,349.766668,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.4,1,74.866667,2,265.500001,11
TTL Full Service Consumer,50000001428,JBAKER1,INTUIT,Tax Specialist,PL1,PL1,New Hire,2,2,0,0,34.38,39.16,9,20,2780.250001,84,40.964616,11,36.841712,10,4.122904,1,0,0,0,0,0,0,0,0,349.816667,7,329.566667,18,310.8,7
TTL Assisted Consumer,50000003141,MSABELLICO,INTUIT,Tax Expert,PL4,PL4,Re-Hire,10,13,12,13,21.18,26.07,0,0,1846.083331,112,0,0,0,0,0,0,0,0,1,1,3,5,4,5,74.75,13,566.883334,38,411.65,30
TTL Full Service Consumer,50000003141,MSABELLICO,INTUIT,Tax Expert,PL4,PL4,Re-Hire,12,14,0,1,150.14,175.07,109,138,7945.233332,377,406.170017,166,47.619828,40,75.284971,41,283.265218,85,0,0,1,1,2,4,370.75,19,867.849999,46,1016.283333,50
TTL Assisted Consumer,50000010248,JCROSBY1,INTUIT,Tax Expert,OTHER,OTHER,New Hire,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0
TTL Assisted Consumer,50000011168,MGRISBY,INTUIT,Tax Associate,OTHER,OTHER,Re-Hire,1,1,1,1,0,0,0,0,787.28333,38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.966667,1,84.933332,6,528.666665,25
TTL Assisted Consumer,50000011810,LBURROUGHS,INTUIT,Tax Expert,PL3,PL2,Re-Hire,-1,1,0,1,11.36,13.86,0,0,564.433335,25,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,564.433335,25
TTL Full Service Consumer,50000011810,LBURROUGHS,INTUIT,Tax Expert,PL3,PL2,Re-Hire,1,1,0,0,96.25,107.62,63,72,2135.049995,234,225.295491,93,32.058162,23,46.830981,25,146.406348,45,0,0,0,0,1,1,127.100001,12,229.316667,24,340.733331,28
TTL Assisted Consumer,50000016519,RHASTY,INTUIT,Tax Expert,PL3,PL3,Re-Hire,0,0,0,0,1.42,1.42,0,0,545.916667,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.083333,1,29.95,1,81.15,2
TTL Full Service Consumer,50000016519,RHASTY,INTUIT,Tax Expert,PL3,PL3,Re-Hire,1,3,0,0,45.7,50.02,25,33,3238.9,103,285.639285,53,82.400015,24,91.83503,16,111.40424,13,0,0,0,0,0,0,30.550001,7,269.133333,8,776.733333,15
TTL Assisted Consumer,50000017763,JMULL1,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,3,3,3,19.62,22.7,0,0,2994.450001,164,0,0,0,0,0,0,0,0,0,0,1,1,2,2,235.3,13,568.666667,40,1116.366666,53
TTL Full Service Consumer,50000017763,JMULL1,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,6,1,1,205.28,229.24,113,142,7146.000005,518,430.966734,177,39.947497,37,96.893759,54,282.471273,84,0,0,1,1,1,1,511.116666,33,857.983335,54,1377.81667,106
TTL Assisted Consumer,50000018904,LLONG,INTUIT,Tax Expert,PL4,PL4,Re-Hire,15,20,14,19,35.97,48.41,0,0,8615.316672,514,0,0,0,0,0,0,0,0,1,1,3,6,11,13,368.983333,33,1918.616669,130,3409.666674,193
TTL Full Service Consumer,50000018904,LLONG,INTUIT,Tax Expert,PL4,PL4,Re-Hire,5,13,4,5,214.39,273.11,101,186,9776.949988,720,488.233959,161,53.088879,37,125.051447,41,303.018737,81,1,1,-1,3,2,2,478.299998,32,1506.866663,110,1977.449996,141
TTL Assisted Consumer,50000019668,BSAUVE,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,3,3,3,9.32,10.85,0,0,1261.266665,29,0,0,0,0,0,0,0,0,0,0,1,1,1,2,39.266666,2,202.183334,6,379.716666,10
TTL Full Service Consumer,50000019668,BSAUVE,INTUIT,Tax Expert,PL4,PL4,Re-Hire,5,5,0,0,76.04,94.82,39,65,7858.9,209,637.289294,81,134.644133,27,76.413852,17,426.231309,37,0,0,1,1,0,0,109.866667,11,380.283333,14,450.283334,14
TTL Assisted Consumer,50000019671,BELLIS2,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,3,3,3,15.92,17.8,0,0,1237.399998,48,0,0,0,0,0,0,0,0,0,0,2,2,1,1,93.133334,5,263.233333,12,456.016666,17
TTL Full Service Consumer,50000019671,BELLIS2,INTUIT,Tax Expert,PL4,PL4,Re-Hire,9,9,1,1,159.11,177.44,74,97,5678.816679,431,543.007936,125,26.381748,13,90.793867,32,414.14271,78,0,0,0,0,2,2,147.950001,15,399.300002,33,532.3,58
TTL Assisted Consumer,50000024272,DSOUKUP,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,6,5,6,50.78,70.09,0,0,2549.233329,203,0,0,0,0,0,0,0,0,1,1,1,1,0,2,254.833332,26,668.033332,70,946.733334,72
TTL Full Service Consumer,50000024272,DSOUKUP,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,8,0,1,175.94,210.46,94,175,9269.583333,446,188.954085,100,21.861235,16,36.747378,26,129.117268,57,0,0,-1,1,0,0,276.150002,23,1190.416666,74,1438.43333,62
TTL Assisted Consumer,50000025601,KDELORENZO,INTUIT,Tax Expert,PL4,PL4,Re-Hire,0,0,0,0,5.15,6.09,0,0,606.099997,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.3,1,14.116667,2,395.483331,11
TTL Full Service Consumer,50000025601,KDELORENZO,INTUIT,Tax Expert,PL4,PL4,Re-Hire,4,4,0,0,67.93,73.88,42,50,3744.099999,143,260.217289,78,32.161911,15,96.137785,31,131.917593,32,0,0,0,0,1,1,139.766667,8,434.533333,15,459.883332,19
TTL Assisted Consumer,50000025777,JCARUSO,INTUIT,Tax Expert,PL4,PL2,Re-Hire,8,8,6,7,21.43,23.86,0,0,2387.48333,138,0,0,0,0,0,0,0,0,0,0,4,4,4,4,147.166669,13,1236.733335,66,565.999997,24
TTL Full Service Consumer,50000025777,JCARUSO,INTUIT,Tax Expert,PL4,PL2,Re-Hire,16,17,1,1,193.06,216.5,43,88,4754.899997,520,320.764695,56,45.488631,9,94.088899,24,181.187165,23,1,1,2,2,1,2,314.599999,24,772.949999,80,219.333333,31
TTL Assisted Consumer,50000030029,CCHASE,INTUIT,Tax Expert,PL4,PL4,Re-Hire,0,2,1,2,26.24,27.35,0,0,6392.366664,183,0,0,0,0,0,0,0,0,0,0,0,0,1,1,311.383332,11,898.216667,32,1932.583332,52
TTL Full Service Consumer,50000030029,CCHASE,INTUIT,Tax Expert,PL4,PL4,Re-Hire,5,7,1,2,179.77,194.43,45,67,10488.14999,527,331.987705,103,72.599542,33,68.073467,29,183.530141,40,0,0,2,2,0,0,240.666667,21,1370.599999,77,875.199999,47
TTL Assisted Consumer,50000030047,ARAY2,INTUIT,Tax Expert,PL4,PL4,Re-Hire,16,18,17,18,52.72,60.85,0,0,8020.449997,420,0,0,0,0,0,0,0,0,1,1,2,3,10,11,264.266666,19,1109.866667,76,3044.53333,158
TTL Full Service Consumer,50000030047,ARAY2,INTUIT,Tax Expert,PL4,PL4,Re-Hire,29,40,6,9,491.47,559.75,210,308,29535.93335,1272,542.085298,267,46.219896,37,90.639695,57,403.753346,172,1,1,1,1,3,3,530.666666,38,2448.816665,146,4704.716666,206
TTL Assisted Consumer,50000030055,EJOHNSSON,INTUIT,Tax Expert,PL4,PL4,Re-Hire,9,10,9,9,14.11,16.23,0,0,3239.333333,100,0,0,0,0,0,0,0,0,1,1,7,7,1,2,783.65,10,814.399999,30,951.616666,36
TTL Full Service Consumer,50000030055,EJOHNSSON,INTUIT,Tax Expert,PL4,PL4,Re-Hire,6,7,1,1,67.34,71.95,44,62,4097.816666,194,239.80985,87,23.022157,16,69.479139,33,147.308554,38,0,0,2,3,2,2,178.216665,9,710.35,29,746.350001,33
TTL Assisted Consumer,50000030069,MGHARRITY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,3,2,3,19.54,23.26,0,0,1218.649997,52,0,0,0,0,0,0,0,0,0,0,2,2,-1,1,43.65,4,262.366666,15,410.116666,19
TTL Full Service Consumer,50000030069,MGHARRITY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,3,3,0,0,82.09,94.25,77,100,5277.433334,199,380.768074,143,32.066144,30,54.28967,31,294.41226,82,0,0,0,0,1,1,27.983334,8,442.416666,24,560.199999,19
TTL Assisted Consumer,50000030093,ADONAHUE1,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,4,3,4,10.12,11.78,0,0,2313.81667,102,0,0,0,0,0,0,0,0,0,0,0,0,1,3,94.883333,8,454.616667,23,400.816669,21
TTL Full Service Consumer,50000030093,ADONAHUE1,INTUIT,Tax Expert,PL4,PL4,Re-Hire,15,16,2,2,151.32,171.67,89,129,5358.333332,351,746.125779,202,75.67188,41,84.856719,37,575.553122,122,0,0,2,2,2,2,101.100001,8,375.150001,32,647.549997,46
TTL Assisted Consumer,50000031874,JCHILAKA,INTUIT,Tax Expert,PL4,PL4,Re-Hire,1,1,1,1,4.06,4.5,0,0,470.849999,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262.799999,9,47.95,4
TTL Full Service Consumer,50000031874,JCHILAKA,INTUIT,Tax Expert,PL4,PL4,Re-Hire,2,2,1,1,96.63,107.96,51,62,2750.433328,229,262.758553,99,22.542857,15,63.996325,26,176.219371,58,0,0,0,0,1,1,98.366666,13,284.283334,12,508.75,33
TTL Assisted Consumer,50000031904,EEASON,INTUIT,Tax Expert,PL3,PL2,Re-Hire,0,0,0,0,2.76,2.84,0,0,227.899999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.066667,3,94.366666,2
TTL Full Service Consumer,50000031904,EEASON,INTUIT,Tax Expert,PL3,PL2,Re-Hire,0,0,0,0,34.57,38.94,11,22,1010.833333,93,69.554984,17,11.63696,6,53.846448,10,4.071576,1,0,0,0,0,0,0,22.116667,2,360.883332,31,158.700001,10
TTL Assisted Consumer,50000034033,JKALINOWSKI,INTUIT,Tax Expert,PL4,PL4,Re-Hire,27,29,26,28,74.53,82.96,0,0,13857.36667,808,0,0,0,0,0,0,0,0,1,1,10,12,12,12,558.633336,44,2621.949995,173,4784.049997,252
TTL Full Service Consumer,50000034033,JKALINOWSKI,INTUIT,Tax Expert,PL4,PL4,Re-Hire,34,41,11,12,456.6,514.48,173,262,15480.08334,1226,884.331582,366,112.890745,81,210.619549,106,552.543114,176,1,1,5,6,10,10,505.850001,67,1929.43333,142,2806.333337,156
