product_name,expert_partner_name,expert_role,proficiency_level,hire_type,expert_count,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator
TTL Assisted Consumer,FOUNDEVER,Tax Specialist,PL1,New Hire,2,0,0,0,0,0.42,0.91,0,0,10.1,2,0,0,0,0,0,0,0,0
TTL Full Service Consumer,FOUNDEVER,Tax Specialist,OTHER,Re-Hire,3,30,34,0,0,245.99,280.57,61,130,11559.13333,559,0,0,0,0,0,0,0,0
TTL Full Service Consumer,FOUNDEVER,Tax Specialist,OTHER,New Hire,6,51,60,0,0,538.04,638.7,157,349,25283.98334,1412,0,0,0,0,0,0,0,0
TTL Full Service Consumer,FOUNDEVER,Tax Specialist,PL1,New Hire,22,82,108,0,0,1159.76,1380.33,320,734,55081.63332,3003,730.747926,436,408.691056,281,201.94044,111,108.113411,41
TTL Full Service Consumer,FOUNDEVER,Tax Specialist,PL1,Re-Hire,1,4,4,0,0,37.87,43.41,10,25,3136.616668,78,57.388571,30,21.590706,15,18.805719,8,15.556087,6
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,OTHER,New Hire,6,21,57,36,51,376.8,486.97,0,0,21287.75001,1177,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL1,New Hire,213,643,1669,1119,1586,10868.09,14006.26,0,0,927803.4833,33461,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL2,New Hire,159,1230,1979,1548,1861,14491.17,17885.99,0,0,1023220.117,38972,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL3,New Hire,19,36,57,46,54,542.62,675.23,0,0,37769.25,1455,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Associate,PL4,New Hire,32,20,76,49,67,1374.59,1711.45,0,0,104067.3333,3665,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,OTHER,New Hire,24,220,348,280,336,2128.22,2733.56,0,0,155200.8666,6594,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL1,New Hire,6,27,45,37,44,183.72,221.23,0,0,14809.61666,485,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL2,New Hire,17,137,233,174,219,1735.25,2204.6,0,0,120086.4334,4886,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL3,New Hire,3,3,9,6,9,201.92,236.99,0,0,15084.06666,477,0,0,0,0,0,0,0,0
TTL Assisted Consumer,HIGHSPRING LLC,Tax Expert,PL4,New Hire,12,31,39,33,35,599.19,735.23,0,0,35525.76667,1464,0,0,0,0,0,0,0,0
TTL Full Service Consumer,HIGHSPRING LLC,Tax Associate,OTHER,New Hire,4,0,0,0,0,4.83,6.89,0,0,165.466666,11,0,0,0,0,0,0,0,0
TTL Full Service Consumer,HIGHSPRING LLC,Tax Associate,PL1,New Hire,197,80,145,0,1,2327.31,2871.91,1420,2620,190493.3834,5066,3088.76512,1429,1662.952188,923,712.172974,291,694.183219,211
TTL Full Service Consumer,HIGHSPRING LLC,Tax Associate,PL2,New Hire,155,140,201,0,1,2362.73,2730.82,1896,2900,158001.8667,5148,5060.534855,2044,1458.206444,787,1911.45008,813,1640.621006,436
TTL Full Service Consumer,HIGHSPRING LLC,Tax Associate,PL3,New Hire,19,19,25,0,0,330,381.44,272,380,20896.21667,783,983.753594,287,46.438892,25,187.339542,68,726.803698,189
TTL Full Service Consumer,HIGHSPRING LLC,Tax Associate,PL4,New Hire,34,64,105,0,0,1120.65,1254.02,1001,1371,121777.4667,2617,2974.190844,1066,178.751881,121,382.588479,178,2408.703728,763
TTL Full Service Consumer,HIGHSPRING LLC,Tax Expert,OTHER,New Hire,9,0,0,0,0,10.86,16.03,0,0,322.166667,24,0,0,0,0,0,0,0,0
TTL Full Service Consumer,HIGHSPRING LLC,Tax Expert,PL1,New Hire,4,1,1,0,0,20.01,24.08,19,27,1019.866671,50,28.598359,19,11.45967,8,13.312123,7,3.826566,4
TTL Full Service Consumer,HIGHSPRING LLC,Tax Expert,PL2,New Hire,17,16,24,1,2,335.57,400.82,269,440,29356.09999,795,725.438528,285,199.910253,98,239.101445,114,263.224384,69
TTL Full Service Consumer,HIGHSPRING LLC,Tax Expert,PL3,New Hire,3,2,6,0,0,110.68,119.85,91,126,5002.783334,241,296.933387,89,30.063431,17,103.495538,32,163.374418,40
TTL Full Service Consumer,HIGHSPRING LLC,Tax Expert,PL4,New Hire,13,29,46,0,0,410.78,460.43,423,542,30947.71667,891,1488.792902,469,88.053584,52,193.96848,85,1202.074285,331
TTL Assisted Consumer,INTUIT,Tax Associate,OTHER,New Hire,191,1416,2191,1777,2064,11002.77,13475.67,0,0,728572.0334,31220,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,OTHER,Re-Hire,47,367,513,424,484,3091,3752.81,0,0,163904.7333,8029,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL1,New Hire,194,244,551,392,515,4119.52,5141.6,0,0,363976.3001,14301,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL1,Re-Hire,215,587,999,771,947,5851.64,7253.1,0,0,442605.5334,20454,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL2,New Hire,334,767,1299,1004,1232,9146.53,11304.48,0,0,698271.4834,28787,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL2,Re-Hire,1243,7093,10637,8549,10062,61369.37,75084.51,0,0,4196958.85,199823,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL3,New Hire,203,695,1034,849,976,7629.23,9333.99,0,0,433147.5833,17385,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL3,Re-Hire,1113,8343,11508,9580,10914,67931.3,82379.49,0,0,4006432.983,184152,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL4,Re-Hire,2760,19818,25651,21785,24328,111929.06,134539.74,0,0,9626755.483,432987,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Associate,PL4,New Hire,57,256,318,273,300,2168.97,2588.89,0,0,128562.6,5648,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,OTHER,New Hire,56,13,38,23,34,5.02,5.37,0,0,45573.65,1274,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,OTHER,Re-Hire,9,34,70,44,63,430.82,555.93,0,0,22468.74999,1419,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL1,Re-Hire,57,176,251,204,241,1127,1407.37,0,0,96966.31664,4576,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL1,New Hire,23,55,70,56,65,317.68,394.4,0,0,32576.43335,1368,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL2,New Hire,66,82,150,113,145,1162.86,1454.2,0,0,77635.3,3539,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL2,Re-Hire,149,846,1110,950,1058,5099.89,6189.65,0,0,410539.7333,19224,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL3,Re-Hire,218,991,1347,1133,1264,7194.14,8835.85,0,0,491449.95,23245,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL3,New Hire,72,143,229,179,219,1583.78,2010.45,0,0,91696.25003,4536,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL4,New Hire,60,429,555,477,527,1745.71,2060.05,0,0,257374.2833,12010,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Expert,PL4,Re-Hire,1680,9244,11761,10090,11177,38889.92,46773.09,0,0,5265457.8,237156,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,OTHER,New Hire,9,6,6,5,6,54.8,68.52,0,0,2936.15,121,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,OTHER,Re-Hire,11,7,10,9,10,63.82,77.15,0,0,3130.599994,138,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL1,New Hire,779,1787,2663,2154,2482,21920.74,27014.1,0,0,946248.25,36336,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL1,Re-Hire,273,981,1382,1152,1314,11446.41,13974.41,0,0,470106.1,21240,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL2,Re-Hire,354,1732,2261,1915,2146,17600.69,21192.58,0,0,759389.7499,34079,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL2,New Hire,727,2834,3928,3298,3716,34748.89,42592,0,0,1406921.45,56142,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL3,Re-Hire,146,823,986,860,932,7053.48,8292.18,0,0,316430.8833,14001,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL3,New Hire,2,6,12,8,9,124.09,168.02,0,0,6499.683332,255,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL4,Re-Hire,20,126,152,137,145,1202.7,1422.63,0,0,44822.03333,2444,0,0,0,0,0,0,0,0
TTL Assisted Consumer,INTUIT,Tax Specialist,PL4,New Hire,1,0,2,1,2,2.23,2.79,0,0,114.8,4,0,0,0,0,0,0,0,0
TTL Full Service Consumer,INTUIT,Tax Associate,OTHER,New Hire,16,1,2,0,0,54.01,59.36,18,23,4419.666665,216,0,0,0,0,0,0,0,0
TTL Full Service Consumer,INTUIT,Tax Associate,OTHER,Re-Hire,11,19,28,3,5,294.85,327.1,140,217,18829.2,1004,0,0,0,0,0,0,0,0
TTL Full Service Consumer,INTUIT,Tax Associate,PL1,New Hire,190,80,133,23,35,3717.97,4460.34,1081,2036,174524.6334,9652,3439.313281,1237,1456.230086,708,1095.941989,336,869.500155,187
TTL Full Service Consumer,INTUIT,Tax Associate,PL1,Re-Hire,239,299,520,114,177,9024.2,10626.92,2859,5309,430797.9333,23079,12822.78272,4474,4922.909548,2219,4247.765261,1407,3567.659585,830
TTL Full Service Consumer,INTUIT,Tax Associate,PL2,Re-Hire,1299,5013,7862,1403,2130,126525.94,145830.29,49437,79637,6078494.6,323092,185345.1754,70666,54582.20393,27976,68425.91107,26579,60728.45557,15731
TTL Full Service Consumer,INTUIT,Tax Associate,PL2,New Hire,337,563,1024,158,276,17498.02,20464.11,6952,10224,863737.5166,42987,19179.13776,7119,4807.15956,2551,8272.690248,3039,5912.502612,1489
TTL Full Service Consumer,INTUIT,Tax Associate,PL3,Re-Hire,1130,5221,8179,1672,2428,135179.02,154353.35,49969,78036,6178748.683,337096,227780.7129,76012,47318.72337,23945,62668.1834,23805,115966.7305,27863
TTL Full Service Consumer,INTUIT,Tax Associate,PL3,New Hire,209,383,700,175,264,12984.5,15066.52,4015,6033,552284.9167,31258,16358.90252,4453,2003.335969,944,4081.845295,1366,10145.85779,2120
TTL Full Service Consumer,INTUIT,Tax Associate,PL4,Re-Hire,2792,14321,19047,3025,3998,338467.47,384490.75,144167,215293,17217106.27,910319,869317.3451,269362,118509.2488,63711,166418.817,66003,576934.0625,138033
TTL Full Service Consumer,INTUIT,Tax Associate,PL4,New Hire,58,169,255,31,49,5123.54,5863.82,1805,2741,241474.5333,12917,7601.617261,2119,810.224377,388,1456.396159,526,5197.995807,1183
TTL Full Service Consumer,INTUIT,Tax Expert,OTHER,Re-Hire,456,2,2,1,1,0,0,0,0,452164.75,26419,0,0,0,0,0,0,0,0
TTL Full Service Consumer,INTUIT,Tax Expert,OTHER,New Hire,22,0,0,0,0,0,0,0,0,11982.7,644,0,0,0,0,0,0,0,0
TTL Full Service Consumer,INTUIT,Tax Expert,PL1,Re-Hire,62,138,165,18,25,3511.5,4051.33,1513,2658,166542.0499,9246,5223.50954,2297,2286.903365,1269,1567.323455,643,1362.815254,380
TTL Full Service Consumer,INTUIT,Tax Expert,PL1,New Hire,24,61,79,6,7,949.88,1096.11,418,709,38460.96669,2532,1397.474644,515,475.942303,243,578.202848,186,335.303498,83
TTL Full Service Consumer,INTUIT,Tax Expert,PL2,Re-Hire,159,765,994,99,140,16549.23,18978.39,7388,11618,879169.9833,43925,30901.00266,11955,8191.871108,4459,11097.33609,4441,11379.73413,2994
TTL Full Service Consumer,INTUIT,Tax Expert,PL2,New Hire,74,85,166,15,32,4028.12,4697.57,2079,3062,195391.6,9922,5575.448777,2168,1363.135528,700,2436.436065,956,1726.122193,499
TTL Full Service Consumer,INTUIT,Tax Expert,PL3,Re-Hire,219,991,1461,180,259,27195.78,31199.05,12354,19138,1301702.333,70057,51651.71888,18339,10226.83142,5782,14843.68629,5791,26281.18114,6689
TTL Full Service Consumer,INTUIT,Tax Expert,PL3,New Hire,73,207,313,41,57,5365.85,6256.24,2568,3808,226334.85,12899,8143.233025,2802,1100.091903,701,2137.786073,857,4815.631896,1225
TTL Full Service Consumer,INTUIT,Tax Expert,PL4,New Hire,61,452,529,111,137,7612.76,8558.08,3093,4837,387377.5667,24605,17134.1822,5462,2179.861248,1252,3246.354517,1324,11524.64265,2841
TTL Full Service Consumer,INTUIT,Tax Expert,PL4,Re-Hire,1701,9669,12323,2060,2590,225618.26,256621.29,106884,156060,11372409.65,628963,650118.5913,205386,87139.68548,49398,133179.8967,53722,424544.6021,101169
TTL Full Service Consumer,INTUIT,Tax Specialist,OTHER,New Hire,89,22,51,12,19,798.86,954.04,110,218,37506.68332,1820,668.575054,228,214.305191,101,190.973061,65,259.37265,60
TTL Full Service Consumer,INTUIT,Tax Specialist,OTHER,Re-Hire,14,31,47,15,24,1124.31,1314.27,224,430,43026.85,2565,1128.315071,397,297.207752,159,438.275068,142,384.405835,93
TTL Full Service Consumer,INTUIT,Tax Specialist,PL1,New Hire,950,1876,3296,606,1063,49957.21,59499.44,9474,20173,2146080.283,113683,36899.07966,14765,17483.33342,8915,11569.82249,3829,7546.031504,1949
TTL Full Service Consumer,INTUIT,Tax Specialist,PL1,Re-Hire,287,1684,2416,182,301,29586.64,34149.49,5667,14448,1258367.717,71807,49714.82323,20579,22863.2414,11752,15249.77043,5856,11312.55491,2911
TTL Full Service Consumer,INTUIT,Tax Specialist,PL2,New Hire,740,2531,4926,1207,2007,76033.95,90220.53,11239,22717,2862388.4,171598,54735.97765,17024,16490.86721,6738,22791.19838,6858,15013.91856,3355
TTL Full Service Consumer,INTUIT,Tax Specialist,PL2,Re-Hire,359,3503,4920,455,707,52581.76,60279.68,10691,23412,2249817.8,126119,100196.028,40819,37537.68966,19851,33617.13024,13448,28404.03306,7388
TTL Full Service Consumer,INTUIT,Tax Specialist,PL3,Re-Hire,146,1978,2575,294,419,24081.8,27099.08,5023,10247,1004805.833,54424,54919.35177,21179,17783.9782,9443,17849.41631,7209,18874.76086,4449
TTL Full Service Consumer,INTUIT,Tax Specialist,PL3,New Hire,2,9,22,6,7,403.03,499.23,65,149,15636.3,930,92.482449,33,37.227124,17,24.741747,8,30.513578,8
TTL Full Service Consumer,INTUIT,Tax Specialist,PL4,Re-Hire,20,193,290,29,54,3030.61,3426.29,1402,2100,144446.7333,7275,9995.695938,4521,2331.768404,1557,2646.530473,1369,4946.787861,1577
TTL Full Service Consumer,INTUIT,Tax Specialist,PL4,New Hire,1,1,1,0,0,52.47,55.62,10,17,2896.866659,106,139.807666,16,51.844507,8,48.800471,5,39.162688,3
TTL Assisted Consumer,JDA,Tax Associate,OTHER,Re-Hire,73,955,1392,1149,1332,6559.15,8116.34,0,0,459858.95,20141,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,OTHER,New Hire,287,2855,4700,3641,4438,23158.25,29526.84,0,0,1686447.6,72037,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL1,New Hire,973,4011,8383,6040,7914,54112.27,70029.51,0,0,3675541.517,161823,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL1,Re-Hire,187,1505,2460,1927,2341,14392.49,17933.81,0,0,972228.0333,41905,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL2,New Hire,1311,15759,24035,19380,22848,162916.39,202004.74,0,0,9041915.617,430680,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL2,Re-Hire,312,4780,6848,5615,6479,42782.23,52539.56,0,0,2531430.383,119853,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL3,New Hire,427,3435,4726,3924,4492,40234.47,49416.55,0,0,1996691.067,97094,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL3,Re-Hire,155,2418,3081,2666,2940,21404.89,25862.67,0,0,1227683.283,58917,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL4,Re-Hire,136,1201,1519,1320,1453,12606.04,15146.61,0,0,767805.4666,37448,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Associate,PL4,New Hire,75,432,640,513,602,5397.82,6605.53,0,0,281510.45,14271,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,OTHER,Re-Hire,33,416,570,476,538,2462.39,2997.45,0,0,166494.2833,7565,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,OTHER,New Hire,65,761,1169,942,1108,5663.86,7257.56,0,0,393329.6,16971,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL1,New Hire,94,570,982,737,923,6442.24,8528.36,0,0,400239.4501,18717,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL1,Re-Hire,26,320,506,408,478,2605.76,3333.73,0,0,162327.7834,7791,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL2,New Hire,240,2493,3854,3120,3639,27378.53,34527.23,0,0,1479634.317,71828,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL2,Re-Hire,55,741,1027,859,970,7451.53,9236.49,0,0,385989.2833,20793,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL3,New Hire,143,1094,1493,1264,1427,13346.66,16443.9,0,0,637134.15,31920,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL3,Re-Hire,48,519,679,580,645,5221.55,6398.81,0,0,275523.3834,13698,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL4,Re-Hire,40,309,397,344,386,4052.59,4946.28,0,0,240206.2,11568,0,0,0,0,0,0,0,0
TTL Assisted Consumer,JDA,Tax Expert,PL4,New Hire,31,316,404,353,386,3722.45,4406.03,0,0,176073.95,8767,0,0,0,0,0,0,0,0
TTL Full Service Consumer,JDA,Tax Associate,OTHER,New Hire,209,4,7,4,4,522.34,699.85,35,47,20854.26666,1145,51.943445,5,1.555056,1,0,0,50.388389,4
TTL Full Service Consumer,JDA,Tax Associate,OTHER,Re-Hire,47,0,0,0,0,124.13,157.05,0,0,4875.533327,298,21.709498,5,6.827375,2,5.800819,1,6.35214,1
TTL Full Service Consumer,JDA,Tax Associate,PL1,Re-Hire,166,219,280,0,0,2805.65,3234.81,2512,3827,337312.3334,7074,10759.74406,4995,4538.018418,2753,3021.948571,1300,3153.036456,929
TTL Full Service Consumer,JDA,Tax Associate,PL1,New Hire,834,364,574,5,6,7170.65,8787.3,5274,8953,635812.2334,18433,11460.88986,5419,5511.503765,3271,3034.922697,1272,2836.488059,856
TTL Full Service Consumer,JDA,Tax Associate,PL2,New Hire,1267,2506,3327,12,16,32721.29,37532.8,33058,45835,2548996.15,75843,76007.87927,34982,21817.37322,14368,29259.72732,13012,24383.87394,7443
TTL Full Service Consumer,JDA,Tax Associate,PL2,Re-Hire,306,1098,1365,4,4,10285.4,11558.42,10782,14920,878325.1834,24436,38658.45604,18325,10923.54691,7256,14200.93691,6891,13196.98751,4101
TTL Full Service Consumer,JDA,Tax Associate,PL3,New Hire,417,1225,1671,4,5,13846.27,15473.7,15561,20146,1210820.967,32471,42798.49637,16603,4475.829356,2944,11328.55476,5354,26572.7155,8207
TTL Full Service Consumer,JDA,Tax Associate,PL3,Re-Hire,147,651,822,1,1,7430.55,8211.22,8478,11027,622638.25,17488,36651.38048,14754,5578.774397,3597,10085.69517,4797,20763.69588,6314
TTL Full Service Consumer,JDA,Tax Associate,PL4,Re-Hire,133,913,1096,1,2,8322.94,9096.18,9089,11711,750713.7833,19451,43798.81115,16269,5019.082968,3296,7079.062826,3313,31387.45523,9593
TTL Full Service Consumer,JDA,Tax Associate,PL4,New Hire,75,367,445,0,0,3034.95,3355.63,3186,4124,262404.6666,7836,11185.55093,3666,562.055198,356,1434.661916,632,9142.64219,2664
TTL Full Service Consumer,JDA,Tax Expert,OTHER,New Hire,40,0,1,1,1,102.38,145.25,0,0,3236.250005,211,0,0,0,0,0,0,0,0
TTL Full Service Consumer,JDA,Tax Expert,OTHER,Re-Hire,20,3,3,0,0,34.48,49.15,0,2,1032.566669,70,0,0,0,0,0,0,0,0
TTL Full Service Consumer,JDA,Tax Expert,PL1,New Hire,81,23,41,1,1,805.21,979.2,658,1123,58068.45001,2004,1698.33048,711,762.823002,429,494.336197,164,428.485749,114
TTL Full Service Consumer,JDA,Tax Expert,PL1,Re-Hire,24,9,19,0,0,323.8,382.19,286,422,18789.16666,812,1681.895449,834,638.282059,435,404.84871,203,623.269569,193
TTL Full Service Consumer,JDA,Tax Expert,PL2,Re-Hire,50,127,162,2,2,1631.87,1861.71,1925,2537,133176.7667,3772,6910.715983,3553,1826.77079,1324,2440.316618,1334,2589.183043,881
TTL Full Service Consumer,JDA,Tax Expert,PL2,New Hire,227,353,527,3,3,5311.12,6158.36,5367,7622,495041.95,12337,14120.58829,5907,3379.818837,2199,5385.389966,2276,5241.259551,1415
TTL Full Service Consumer,JDA,Tax Expert,PL3,New Hire,140,356,489,0,0,4287.46,4804.68,4979,6455,410512.6333,9879,14255.11715,5363,1402.984684,898,3301.460454,1607,9410.439845,2829
TTL Full Service Consumer,JDA,Tax Expert,PL3,Re-Hire,47,177,238,2,2,2036.08,2272.2,2377,3075,173702.9833,4520,9586.550974,4170,1344.793015,902,2322.467642,1242,5836.669161,1999
TTL Full Service Consumer,JDA,Tax Expert,PL4,New Hire,31,228,266,2,2,1920.02,2094.95,2143,2690,131147.6333,4254,6916.467218,2471,358.026267,205,951.270888,439,5557.563855,1818
TTL Full Service Consumer,JDA,Tax Expert,PL4,Re-Hire,39,239,333,0,0,2332.09,2604.89,2478,3330,213476.2667,5289,12108.48181,4650,1342.85347,877,2103.88007,1021,8581.096326,2729
TTL Assisted Consumer,MAGNIT,Tax Associate,OTHER,Re-Hire,108,152,186,167,178,0,0,0,0,91950.74998,3314,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,OTHER,New Hire,4,15,23,17,23,0.15,0.2,0,0,9426.066677,619,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL1,New Hire,189,1064,2076,1532,1956,10084.34,12916.58,0,0,1055721.3,32921,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL1,Re-Hire,12,26,43,31,39,70.74,99.76,0,0,19000.31667,892,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL2,New Hire,244,3811,5435,4488,5162,25289.16,31234.6,0,0,2203128.433,74099,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL2,Re-Hire,14,76,120,98,114,510.04,669.94,0,0,42825.75,1696,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL3,New Hire,85,2296,2979,2573,2861,13078.74,15659.34,0,0,976978.3834,35051,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL3,Re-Hire,2,6,15,11,13,37.59,42.93,0,0,7863.166669,620,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL4,New Hire,149,590,862,715,815,8310.15,10200.82,0,0,717243.0833,22741,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Associate,PL4,Re-Hire,11,8,17,13,16,272.92,341.48,0,0,20500.83333,709,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,OTHER,Re-Hire,23,25,37,30,35,0,0,0,0,19227.20001,590,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,OTHER,New Hire,2,-1,1,0,1,4.11,8,0,0,25.866667,6,0,0,0,0,0,0,0,0
TTL Assisted Consumer,MAGNIT,Tax Expert,PL1,New Hire,17,-7,66,30,63,390.26,624.95,0,0,59514.28334,1614,0,0,0,0,0,0,0,0
