product_name,corp_id,corp_login,expert_partner_name,expert_role,proficiency_level,proficiency_level_start,hire_type,new_returning_customer,tnps_numerator,tnps_denominator,ir_numerator,ir_denominator,sqs_numerator,sqs_denominator,handled_conversion_numerator,handled_conversion_denominator,aht_numerator,aht_denominator,cst_numerator,cst_denominator,cst_basic_numerator,cst_basic_denominator,cst_deluxe_numerator,cst_deluxe_denominator,cst_premium_numerator,cst_premiun_denominator,tnps_basic_numerator,tnps_basic_denominator,tnps_deluxe_numerator,tnps_deluxe_denominator,tnps_premium_numerator,tnps_premium_denominator,aht_basic_numerator,aht_basic_denominator,aht_deluxe_numerator,aht_deluxe_denominator,aht_premium_numerator,aht_premium_denominator
TTL Assisted Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,New,1,1,1,1,0,0,0,0,432.783333,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2,3,130.733333,4,221.883333,5
TTL Assisted Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,Unknown,0,0,0,0,36.15,40.88,0,0,246.333333,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,New,0,0,0,0,0,0,4,7,1126.333335,53,16.71827,6,15.563094,5,1.155176,1,0,0,0,0,0,0,0,0,41.550001,4,27.716666,4,42.483334,2
TTL Full Service Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,Returning,0,2,0,1,0,0,5,10,1102.883338,71,16.954364,7,11.234251,5,4.666051,1,1.054062,1,0,0,0,0,0,0,168.166666,17,92.016667,10,230.783336,16
TTL Full Service Consumer,10000128412,JCOCA,INTUIT,Tax Specialist,PL1,PL1,New Hire,Unknown,0,0,0,0,62.98,70.35,0,0,48.433334,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Returning,5,7,6,7,0,0,0,0,2714.983333,129,0,0,0,0,0,0,0,0,2,2,0,0,3,5,86.383333,9,687.75,39,1702.433333,64
TTL Assisted Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Unknown,0,0,0,0,32.62,41.1,0,0,178.433334,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,New,1,1,1,1,0,0,0,0,1084.000002,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,133.483333,4,198.250001,11,235.816668,12
TTL Full Service Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,New,2,4,1,1,0,0,24,60,3277.466671,238,201.805631,46,16.321981,9,45.250464,13,137.363629,23,0,0,0,0,2,2,93.533335,10,354.400001,25,206,8
TTL Full Service Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Returning,4,6,1,1,0,0,29,49,4558.883343,191,273.948595,56,20.001451,11,86.358229,19,167.588915,26,0,0,2,2,1,3,203.55,10,632.716669,30,957.616669,52
TTL Full Service Consumer,10000136275,MBEARD,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Unknown,0,0,0,0,152.8,179.03,0,0,167.450001,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000137397,BYANG1,INTUIT,Tax Expert,OTHER,OTHER,New Hire,Returning,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,New,0,2,1,2,0,0,0,0,871.350001,24,0,0,0,0,0,0,0,0,1,1,0,0,-1,1,126.133333,1,230.383335,10,470.733333,11
TTL Assisted Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,Returning,5,9,8,8,0,0,0,0,2237.266666,88,0,0,0,0,0,0,0,0,0,0,1,1,4,8,55.266666,2,607.733333,34,1518.8,51
TTL Assisted Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,Unknown,0,0,0,0,83.5,96.89,0,0,2.966667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,New,1,1,0,0,0,0,5,22,1286.283334,59,31.701985,8,3.934347,2,24.902921,5,2.864717,1,0,0,0,0,0,0,153.25,6,54.133333,2,23.466667,1
TTL Full Service Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,Returning,1,1,0,1,0,0,4,8,1581.55,46,31.468656,13,16.096147,8,11.280455,3,4.092054,2,0,0,0,0,0,0,101.216666,3,422.766667,13,333.366666,7
TTL Full Service Consumer,10000140487,ALAVINUS,INTUIT,Tax Specialist,PL1,PL1,New Hire,Unknown,0,0,0,0,61.68,69.16,0,0,220.033334,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Returning,3,5,5,5,0,0,0,0,2259.583334,84,0,0,0,0,0,0,0,0,0,0,4,4,-1,1,96.199999,7,1528.65,48,593.133334,24
TTL Assisted Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Unknown,0,0,0,0,36.84,42.26,0,0,183.016665,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,New,0,0,0,0,0,0,0,0,756.050002,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.250001,6,122.433334,9,82.6,4
TTL Full Service Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Returning,1,2,0,0,0,0,16,19,1489.783332,96,187.066183,29,68.628091,14,51.024317,10,40.39286,4,0,1,0,0,1,1,100.116668,5,286.216666,23,396.8,18
TTL Full Service Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,New,2,2,1,1,0,0,15,28,2339.116664,106,96.451201,16,30.108261,9,8.299234,3,58.043706,4,0,0,0,0,0,0,6.449999,7,100.600001,12,2.533333,1
TTL Full Service Consumer,10000141959,MHALL2,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Unknown,0,0,0,0,80.83,87.88,0,0,67.483333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,Returning,1,1,0,1,0,0,0,0,772.95,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24.15,2,330.433333,9,409.75,9
TTL Assisted Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,New,0,0,0,0,0,0,0,0,150.866667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.266667,1,0,0,84.4,2
TTL Assisted Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,Unknown,0,0,0,0,12.36,13.05,0,0,12.983333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,New,0,0,0,0,0,0,9,18,1295.716666,58,31.404519,9,15.065405,5,7.899516,2,8.439598,2,0,0,0,0,0,0,260.866667,10,112.216666,6,5.783333,3
TTL Full Service Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,Returning,1,3,1,3,0,0,0,1,634.666665,30,18.839247,3,2.437153,1,0,0,16.402094,2,-1,1,0,0,1,1,77.8,2,99.9,7,48.233333,6
TTL Full Service Consumer,10000142085,ACRUZ7,INTUIT,Tax Associate,PL2,PL1,Re-Hire,Unknown,0,0,0,0,38.63,43.12,0,0,2.133333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,5,6,5,6,0,0,0,0,1576.066667,77,0,0,0,0,0,0,0,0,1,1,3,3,0,1,74.25,5,330.599999,21,707.716667,34
TTL Assisted Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,0,0,0,0,0,0,0,0,427.56667,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.883333,1,111.133334,4,123.150001,5
TTL Assisted Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,25.87,30.34,0,0,53.783334,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,44.43,50.34,0,0,123.999999,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,1,1,1,1,0,0,13,16,1046.816669,53,126.970752,23,17.065436,5,26.156546,6,83.74877,12,0,0,0,0,0,0,33.55,1,130.033335,5,297.366668,16
TTL Full Service Consumer,10000143136,VKRAFT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,0,0,0,0,0,0,11,22,1232.500001,55,157.508918,25,25.864519,6,30.802787,5,100.841612,14,0,0,0,0,0,0,46.35,3,5.25,1,77.283333,3
TTL Assisted Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,6,6,6,6,0,0,0,0,1994.966666,116,0,0,0,0,0,0,0,0,1,1,1,1,2,2,114.5,11,379.066667,24,763.233331,42
TTL Assisted Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,10,13,12,13,0,0,0,0,3944.850001,221,0,0,0,0,0,0,0,0,0,0,4,5,3,5,215.000001,19,1240.633332,67,1717.783335,97
TTL Assisted Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,66.8,76.43,0,0,130.783333,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,5,6,1,1,0,0,79,103,4338.933336,355,269.72504,130,25.935114,31,55.493606,40,188.29632,59,0,0,1,1,2,2,229.583333,18,799.049995,74,1046.299997,67
TTL Full Service Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,4,9,2,3,0,0,47,81,3536.599996,320,272.266084,92,27.245384,20,36.396231,17,206.531794,54,-1,1,1,1,2,2,142.999999,7,207.383331,25,408.483331,47
TTL Full Service Consumer,10000143356,AJITAHADI,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,254.94,280.52,0,0,225.416668,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000144768,TLEE,INTUIT,Tax Expert,OTHER,OTHER,New Hire,New,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
TTL Full Service Consumer,10000147709,KLEW1,INTUIT,Tax Specialist,PL1,PL1,New Hire,Unknown,0,0,0,0,4.2,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000147709,KLEW1,INTUIT,Tax Specialist,PL1,PL1,New Hire,New,0,0,0,0,0,0,0,1,1980.633333,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.816667,1
TTL Full Service Consumer,10000147709,KLEW1,INTUIT,Tax Specialist,PL1,PL1,New Hire,Returning,0,0,0,0,0,0,0,0,55.483334,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.783334,2,0,0
TTL Assisted Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,Returning,0,0,0,0,0,0,0,0,483.516667,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.75,2,44.833333,5,367.933334,17
TTL Assisted Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,New,0,0,0,0,0,0,0,0,127.516667,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.833333,2,41.95,2,29.933334,4
TTL Assisted Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,Unknown,0,0,0,0,21.51,27.94,0,0,17.566667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,Returning,-1,1,0,1,0,0,1,2,621.216668,40,9.089664,2,0,0,4.361146,1,4.728518,1,0,0,0,0,0,0,0.266667,1,76.616666,7,190.166667,10
TTL Full Service Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,New,-1,1,0,1,0,0,5,10,877.583335,69,32.453709,5,27.864699,3,4.58901,2,0,0,0,0,0,0,0,0,44.066667,7,142.633333,4,9.616667,3
TTL Full Service Consumer,10000148289,DSHAW2,INTUIT,Tax Specialist,PL2,PL1,New Hire,Unknown,0,0,0,0,47.88,62.31,0,0,66.083334,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Returning,0,0,0,0,0,0,0,0,24.016667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.016667,4,0,0
TTL Assisted Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,New,0,0,0,0,0,0,0,0,28.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,1,0,0
TTL Assisted Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Unknown,0,0,0,0,2.88,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Returning,0,0,0,0,0,0,2,2,128.916667,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,New,0,0,0,0,0,0,0,1,31.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.75,1,0,0,0,0
TTL Full Service Consumer,10000158459,DSERGEANT,INTUIT,Tax Associate,PL2,PL2,Re-Hire,Unknown,0,0,0,0,2.98,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,New,-1,2,1,2,0,0,0,0,239.599999,15,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,24.616667,2,99.433333,7,111.433332,5
TTL Assisted Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,Returning,0,0,0,0,0,0,0,0,1224.966669,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.683333,1,403.916667,32,809.616669,61
TTL Assisted Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,Unknown,0,0,0,0,61.91,83.23,0,0,25.866667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,Returning,-1,3,0,2,0,0,11,17,1177.433331,134,31.695507,13,6.072663,3,22.630763,9,2.992081,1,0,0,0,0,-1,1,84.166666,7,246.216667,32,333.566668,32
TTL Full Service Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,New,0,0,0,0,0,0,9,29,1489.616666,156,47.358255,15,21.744894,9,18.492427,4,7.120934,2,0,0,0,0,0,0,153.050001,14,64.066667,8,48.383333,7
TTL Full Service Consumer,10000173445,ASYED1,INTUIT,Tax Specialist,PL2,PL1,New Hire,Unknown,0,0,0,0,123.26,158.68,0,0,179.749999,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000175185,JMASSEY,INTUIT,Tax Expert,OTHER,OTHER,New Hire,Unknown,0,0,0,0,0,0,0,0,0.216667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,3,3,2,3,0,0,0,0,540.983333,24,0,0,0,0,0,0,0,0,1,1,1,1,0,0,36.533333,3,6.416667,1,134.116666,2
TTL Assisted Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,4,4,4,4,0,0,0,0,977.799999,45,0,0,0,0,0,0,0,0,0,0,1,1,3,3,257.233333,7,135.666667,9,431.033333,16
TTL Assisted Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,18.65,22.59,0,0,34.766667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,1,1,1,1,0,0,24,29,2107.133334,126,190.03709,48,17.132797,11,40.338839,12,132.565454,25,0,0,0,0,0,0,86.716667,5,224.166666,15,441.083334,14
TTL Full Service Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,-1,1,0,0,0,0,11,25,2098.083332,183,99.332476,33,12.598593,8,40.277306,14,43.739918,10,0,0,0,0,0,0,20.25,3,219.333332,6,83.25,4
TTL Full Service Consumer,10000175958,MWALKER,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,139.79,155.26,0,0,547.250002,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,PL2,Re-Hire,Returning,0,0,0,0,0,0,0,0,89.066666,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,PL2,Re-Hire,New,0,0,0,0,0,0,3,5,234.016668,29,27.549027,6,5.499956,2,7.268124,1,14.780947,3,0,0,0,0,0,0,0,0,11.866667,1,60.8,4
TTL Full Service Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,PL2,Re-Hire,Returning,0,0,0,0,0,0,8,11,456.949999,39,51.012848,15,31.974923,9,17.303446,5,1.734479,1,0,0,0,0,0,0,2.316667,1,164.566667,8,135.033333,16
TTL Full Service Consumer,10000179654,FGEMLICH,INTUIT,Tax Expert,PL3,PL2,Re-Hire,Unknown,0,0,0,0,13.12,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,14,16,15,16,0,0,0,0,1832.7,120,0,0,0,0,0,0,0,0,0,1,7,7,7,8,217.283333,18,577.866665,42,724.949998,41
TTL Assisted Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,5,5,5,5,0,0,0,0,714.149998,38,0,0,0,0,0,0,0,0,0,0,3,3,2,2,50.333333,4,194.316665,10,39.666667,4
TTL Assisted Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,61.76,71.83,0,0,211,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Returning,2,2,0,0,0,0,28,42,1736.38333,169,151.955898,48,16.805111,10,15.801703,11,119.349084,27,0,0,0,0,1,1,163.183333,16,249.416667,33,352.716666,33
TTL Full Service Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,New,0,0,0,0,0,0,14,41,1360.566667,195,81.734497,28,14.248531,9,4.065791,4,63.420175,15,0,0,0,0,0,0,241.166667,22,44.2,10,17.166666,8
TTL Full Service Consumer,10000180979,MCONSTANT,INTUIT,Tax Associate,PL4,PL4,Re-Hire,Unknown,0,0,0,0,143.93,161.73,0,0,87.033333,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,New,2,2,2,2,0,0,0,0,675.799999,31,0,0,0,0,0,0,0,0,0,0,2,2,0,0,95.983333,6,99.433334,9,24.833333,2
TTL Assisted Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Returning,1,1,1,1,0,0,0,0,478.666665,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,62.249999,3,123.300001,7,68.2,6
TTL Assisted Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Unknown,0,0,0,0,10.54,11.53,0,0,315.416666,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Returning,11,13,3,3,0,0,69,78,2495.700004,198,565.443116,191,57.789047,28,136.578405,46,368.320905,116,0,0,2,2,3,4,34.45,1,189.283334,18,582.083334,41
TTL Full Service Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,New,7,9,0,1,0,0,23,46,2092.349999,165,204.718617,73,24.575135,19,45.819184,18,120.998008,34,0,0,0,0,0,0,55.333333,9,433.483334,11,48.3,2
TTL Full Service Consumer,10000181063,ERAINEY,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Unknown,0,0,0,0,152.2,167.04,0,0,290.65,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Assisted Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,New,0,2,1,1,0,0,0,0,438.8,14,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,2.583333,1,111.800001,5,65.216666,5
TTL Assisted Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Returning,3,3,3,3,0,0,0,0,959.033332,38,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,80.016667,8,406.883332,22
TTL Assisted Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Unknown,0,0,0,0,19.2,22.69,0,0,35.116667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TTL Full Service Consumer,10000181438,MBUHMEYER,INTUIT,Tax Expert,PL4,PL4,Re-Hire,Returning,2,3,1,1,0,0,35,52,2895.9,126,157.285243,88,20.612977,16,30.603146,24,106.06912,48,0,0,0,0,1,2,221.433332,16,228.483333,15,1133.466668,29
